Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term (months),Default_Status (Yes/No)
100000,59,48054,23066,608,60,Yes
100001,49,196469,37746,665,48,No
100002,35,33233,7460,820,48,No
100003,63,176140,42297,758,12,Yes
100004,28,85727,39743,669,60,No
100005,41,110610,8216,630,36,No
100006,59,90453,19267,310,60,No
100007,39,124135,14581,806,60,No
100008,43,176904,9515,718,48,No
100009,31,128464,27076,421,48,No
100010,31,33682,49816,534,48,No
100011,44,174455,14776,630,48,No
100012,56,78160,26947,842,36,Yes
100013,60,43666,7963,647,24,No
100014,44,78817,11786,711,12,Yes
100015,23,111198,18866,523,48,No
100016,42,185714,43968,452,48,No
100017,22,61830,37305,511,12,No
100018,44,30234,22360,391,48,No
100019,64,77616,45113,630,24,Yes
100020,50,29221,37813,766,60,No
100021,58,162482,6193,527,12,No
100022,22,21051,9512,493,36,No
100023,41,130529,27666,829,12,No
100024,53,96918,21630,542,24,Yes
100025,32,98116,13983,688,36,Yes
100026,42,142226,5636,575,60,No
100027,64,64757,8775,749,48,No
100028,45,141008,7421,777,12,No
100029,47,151379,18025,779,36,No
100030,62,76889,14280,587,12,No
100031,48,55944,41951,839,60,No
100032,36,119555,16351,629,12,No
100033,35,58134,43091,769,36,No
100034,64,178395,35171,833,24,Yes
100035,23,45954,8644,766,36,No
100036,57,109959,21142,719,12,No
100037,27,24992,12773,421,60,Yes
100038,41,21961,33466,607,48,No
100039,29,32497,15778,633,48,No
100040,59,183623,17501,719,60,No
100041,38,33255,7108,625,12,No
100042,24,155639,34369,549,60,No
100043,45,68847,41382,394,12,No
100044,34,199075,30818,595,36,No
100045,29,40389,15251,483,24,No
100046,46,195595,28341,559,12,No
100047,22,143802,16678,485,48,No
100048,40,81576,19367,708,48,No
100049,48,63919,34672,368,24,Yes
100050,27,23358,9332,307,12,Yes
100051,64,108535,17002,564,24,No
100052,28,125982,25284,783,36,No
100053,55,25698,20700,670,24,No
100054,34,86809,18769,382,36,No
100055,37,113079,34318,510,48,Yes
100056,56,75805,29323,612,36,Yes
100057,60,182421,32610,636,12,No
100058,24,95033,11963,789,12,No
100059,22,118239,12838,702,12,No
100060,26,150407,17243,490,12,No
100061,62,64041,32939,634,60,No
100062,24,51954,6845,821,36,No
100063,49,28002,21766,386,12,No
100064,38,89783,41880,361,24,No
100065,46,127524,17780,686,24,No
100066,64,144857,47856,445,60,Yes
100067,54,39738,6509,452,36,No
100068,30,30703,28957,648,36,No
100069,56,133776,39346,477,36,No
100070,34,163464,22263,786,60,No
100071,51,64724,31148,546,36,No
100072,35,52299,36533,553,36,Yes
100073,28,35641,47608,799,12,No
100074,34,99534,17931,840,36,No
100075,43,26305,6359,651,12,No
100076,60,38782,29532,811,12,No
100077,41,98257,25344,312,36,No
100078,36,97963,9242,450,24,Yes
100079,38,141987,25601,349,48,Yes
100080,44,171638,24116,514,24,Yes
100081,46,144591,40477,671,36,No
100082,45,87766,35782,412,36,No
100083,61,26511,23880,551,24,No
100084,49,134816,8499,640,36,No
100085,35,177249,36587,352,12,No
100086,21,24765,49458,429,60,No
100087,45,171426,31020,492,36,No
100088,27,43929,13080,356,36,No
100089,29,179892,28207,396,24,No
100090,44,131576,38957,497,12,No
100091,21,180595,18908,446,24,No
100092,64,91088,35652,594,24,No
100093,28,97525,35344,311,36,No
100094,44,33780,30034,632,12,No
100095,31,26589,30788,519,36,No
100096,37,185884,17751,697,36,Yes
100097,28,113664,38793,641,36,No
100098,55,197011,37839,811,36,No
100099,55,124188,43314,471,60,Yes
100100,53,113326,40453,767,48,No
100101,25,60953,14385,465,12,Yes
100102,62,85785,23232,469,60,No
100103,59,39309,48344,811,48,Yes
100104,61,74195,39790,488,48,Yes
100105,48,45901,20831,419,48,No
100106,27,174648,25125,404,60,No
